ID,Disease Domain,News Title,News Snippet,Source Domain,Label
MH001,COVID-19,New Omicron subvariant XBB.1.5 shows increased transmissibility,"WHO reports that XBB.1.5 is the most transmissible subvariant to date, but current vaccines still offer protection against severe disease.",who.int,Real
MH002,Ebola,Uganda declares end of Ebola outbreak after 142 confirmed cases,"The outbreak, caused by the Sudan ebolavirus, ended with no new cases reported for 42 days.",cdc.gov,Real
MH003,Zika,"Zika virus transmission persists in parts of the Americas, PAHO warns",PAHO urges pregnant women to avoid travel to areas with active Zika transmission due to risk of microcephaly.,paho.org,Real
MH004,SARS,Study finds SARS-CoV-2 antibodies wane faster than SARS-CoV-1 antibodies,"Researchers compare long-term immunity between the two coronaviruses, highlighting need for booster shots.",nature.com,Real
MH005,Cancer,Immunotherapy shows 40% tumor reduction in advanced melanoma trial,New combination therapy (nivolumab + relatlimab) improves progression-free survival in phase 3 trial.,cancer.gov,Real
MH006,HIV/AIDS,Long-acting injectable cabotegravir reduces HIV infection risk by 89%,The HPTN 084 trial shows superior efficacy compared to daily oral PrEP in cisgender women.,hiv.gov,Real
MH007,Polio,Pakistan reports first polio case of 2026 in Khyber Pakhtunkhwa,"Environmental samples confirm wild poliovirus type 1, vaccination campaigns intensified.",polioeradication.org,Real
MH008,Infectious Disease,CDC issues alert over drug-resistant Shigella infections in the US,Shigella strains with extended-spectrum beta-lactamase genes are spreading among men who have sex with men.,cdc.gov,Real
MH009,Rheumatology,New ACR guidelines recommend JAK inhibitors for refractory rheumatoid arthritis,The update includes risk mitigation strategies for cardiovascular events and malignancies.,rheumatology.org,Real
MH010,Hematology,Gene therapy for sickle cell disease receives FDA breakthrough designation,Exa-cel (CRISPR-based) shows 95% reduction in vaso-occlusive crises in ongoing trials.,fda.gov,Real
MH011,Urology,AI-assisted MRI improves prostate cancer detection rate by 32%,A multi-center study shows that AI reduces unnecessary biopsies and detects clinically significant cancers.,euoncology.eu,Real
MH012,Allergy,Omalizumab shows promise in treating multiple food allergies simultaneously,"NIH-funded study finds that anti-IgE therapy increases tolerance to peanuts, eggs, and milk.",nih.gov,Real
MH013,Genetics,CRISPR-Cas9 corrects Duchenne muscular dystrophy mutation in human embryos,Researchers from Oregon Health & Science University report successful repair of dystrophin gene.,ohsu.edu,Real
MH014,Dentistry,"Silver diamine fluoride effectively halts caries in primary teeth, study finds",Low-cost intervention reduces tooth decay progression by 75% in underserved preschool children.,jada.ada.org,Real
MH015,Sports Medicine,Concussion recovery time shorter with active rehabilitation protocol,New trial shows that early sub-threshold aerobic exercise speeds return-to-play by 10 days.,bjsm.bmj.com,Real
MH016,Geriatrics,Multidomain intervention reduces frailty and falls in older adults by 30%,"The SPRINTT trial combines physical activity, nutrition, and cognitive training.",jamanetwork.com,Real
MH017,Sleep Medicine,Cognitive behavioral therapy for insomnia (CBT-I) outperforms sedatives long-term,5-year follow-up shows CBT-I maintains sleep efficiency improvements without dependency.,sleepfoundation.org,Real
MH018,Obesity,Semaglutide 2.4 mg leads to 15% weight loss in adolescents with obesity,STEP TEENS trial shows significant BMI reduction and improved cardiometabolic parameters.,nejm.org,Real
MH019,Kidney Disease,SGLT2 inhibitors slow GFR decline in chronic kidney disease regardless of diabetes,DAPA-CKD trial extended analysis confirms benefit in non-diabetic CKD patients.,thelancet.com,Real
MH020,Stroke,Tenecteplase shows non-inferiority to alteplase in acute ischemic stroke,EXTEND-IA TNK trial finds faster administration and similar safety profile.,strokejournal.org,Real
MH021,Asthma,Biologic dupilumab reduces severe asthma exacerbations by 50% in children,VOYAGE trial shows improvement in lung function and quality of life in 6–11 year olds.,nejm.org,Real
MH022,Tuberculosis,Shorter 4-month regimen for drug-sensitive TB shows high cure rates,The TRUNCATE-TB trial finds that a 4-month regimen with rifapentine and moxifloxacin is non-inferior.,who.int,Real
MH023,Hepatitis,WHO launches global strategy to eliminate hepatitis B and C by 2030,New targets include 90% reduction in new infections and 65% reduction in mortality.,who.int,Real
MH024,Arthritis,Methotrexate plus TNF inhibitor yields better outcomes in psoriatic arthritis,Two-year data from the EXCEED trial shows sustained remission rates.,arthritis.org,Real
MH025,Osteoporosis,Romosozumab reduces vertebral fractures by 73% in postmenopausal women,ARCH study extension shows sustained bone density gains and fracture risk reduction.,jbmr.org,Real
MH026,Pediatrics,RSV vaccine (Abrysvo) approved for use during pregnancy to protect infants,FDA approval based on MATISSE trial showing 81% efficacy against severe RSV in first 3 months.,fda.gov,Real
MH027,Infectious Disease,"Nipah virus outbreak in Kerala, India: 2 deaths, contact tracing underway",Health officials monitor high-risk contacts and test fruit bat samples for reservoir.,cdc.gov,Real
MH028,Rheumatology,Guselkumab improves enthesitis and dactylitis in psoriatic arthritis,Phase 3 DISCOVER-2 trial demonstrates sustained efficacy through 2 years.,rheumatology.org,Real
MH029,Hematology,Hemophilia A gene therapy shows 5-year durability in phase 1/2 trial,Valoctocogene roxaparvovec maintains Factor VIII levels with reduced bleeding episodes.,bloodjournal.org,Real
MH030,Urology,MRI-targeted biopsy reduces overdiagnosis of low-risk prostate cancer,PRECISION trial confirms targeted approach detects more clinically significant cancers.,euoncology.eu,Real
MH031,Allergy,Peanut oral immunotherapy (AR101) receives European approval for children,Palforzia now authorized for desensitization in 4–17 year olds with confirmed peanut allergy.,ema.europa.eu,Real
MH032,Genetics,Whole-genome sequencing identifies novel variants for familial hypercholesterolemia,Study in Nature Genetics reveals new LDLR and APOB mutations.,nature.com,Real
MH033,Dentistry,"Periodontal disease linked to higher risk of Alzheimer’s, longitudinal study",Porphyromonas gingivalis antibodies found in CSF of dementia patients.,jdr.iadr.org,Real
MH034,Sports Medicine,ACL reconstruction with quadriceps tendon shows better outcomes than hamstring,5-year follow-up shows lower graft failure and higher patient-reported knee function.,ajsm.sagepub.com,Real
MH035,Geriatrics,Home-based physical therapy reduces hospital readmissions in frail elders,Randomized trial shows 28% reduction in 30-day readmission rates.,jagsjournal.com,Real
MH036,Sleep Medicine,"Blue-light filtering glasses do not improve sleep quality, new meta-analysis finds",Systematic review of 13 trials shows negligible effect on total sleep time or latency.,sleepjournal.org,Real
MH037,Obesity,Bariatric surgery lowers cancer risk in women with obesity by 42%,Retrospective cohort study from Swedish Obese Subjects (SOS) database.,obesityjournal.org,Real
MH038,Kidney Disease,"Finerenone reduces cardiovascular events in CKD with T2D, FIDELITY analysis",Pooled data from FIDELIO-DKD and FIGARO-DKD shows consistent benefit.,nejm.org,Real
MH039,Stroke,Mechanical thrombectomy benefits extended to large infarct core patients,SELECT2 trial shows improved functional outcomes vs medical management alone.,strokejournal.org,Real
MH040,Asthma,Inhaled corticosteroids plus LABA reduce exacerbations in mild asthma,SMART trial shows as-needed combination therapy is superior to SABA alone.,nejm.org,Real
MH041,Tuberculosis,New urine-based LAM test detects TB in HIV-positive patients with high specificity,FujiLAM assay shows 85% sensitivity in CD4 <100 cells/µL.,who.int,Real
MH042,Hepatitis,Sofosbuvir/velpatasvir cures HCV in 98% of patients with compensated cirrhosis,"Real-world data from 10,000 patients in the HepNet registry.",hepatologyjournal.org,Real
MH043,Arthritis,"Tofacitinib shows comparable efficacy to adalimumab in RA, safety profile similar",ORAL Strategy trial 1-year data with cardiovascular risk stratification.,arthritis-research.com,Real
