id,disease_domain,news_title,news_snippet,source_domain,label
MHF001,Cardiology,Drinking celery juice daily completely reverses heart failure,"An unverified 7-day trial claims celery juice dissolves arterial plaque and restores cardiac function in 98% of patients, but the study has no control group and was published on a wellness blog.",naturalcardioheal.com,Fake
MHF002,Oncology,Shocking video shows turmeric shrinks tumors in 48 hours,"Social media influencers claim a high-dose turmeric paste cured Stage 4 breast cancer overnight, citing a retracted 2016 lab study that never progressed to human trials.",cancertruthdaily.org,Fake
MHF003,Neurology,Wi-Fi signals cause memory loss and brain fog - experts agree,"A self-published ebook alleges that 5G routers emit ""neuro-toxins"" that destroy hippocampal cells, yet no peer-reviewed evidence supports this claim.",brainsafe.net,Fake
MHF004,Endocrinology,Apple cider vinegar eliminates type 2 diabetes permanently,"Bloggers recommend replacing all insulin with apple cider vinegar shots, falsely claiming FDA ""silent approval"" based on a single anecdotal patient report.",diabetescurecentral.com,Fake
MHF005,Pulmonology,Breathing exercises alone cure COPD better than any inhaler,"A $200 online course promises to restore 100% lung capacity within 3 weeks using ""ancient breathing techniques,"" dismissing all bronchodilators as toxic.",lungfreedomacademy.org,Fake
MHF006,Nutrition,Eating only raw potatoes detoxifies the body from all chemicals,"Viral TikTok videos claim raw potato starch removes heavy metals and ""reset the microbiome,"" ignoring the risk of poisoning and malnutrition.",rawfoodrevolution.co,Fake
MHF007,Vaccination,COVID-19 vaccines alter human DNA permanently according to leaked memo,"An anonymous blog post misinterprets mRNA biology to claim genetic modification, urging parents to avoid all future immunizations.",vaccinealert.news,Fake
MHF008,Pediatrics,Baby formula causes lifelong allergies - breastmilk substitute is poison,"A homeopathic group published a fake clinical trial linking formula to 80% of childhood asthma cases, using manipulated data from a discontinued formula brand.",naturalparenting.co,Fake
MHF009,Nephrology,Drinking baking soda water dissolves kidney stones in minutes,"A dodgy supplement website advertises baking soda as a ""stone-dissolving miracle,"" offering no evidence and warning patients to skip dialysis.",kidneycleansepro.com,Fake
MHF010,Women's Health,Menstrual cups cause uterine prolapse - gynecologists silent,"A YouTube vlogger with no medical training claims cups pull the cervix downward, citing a single outdated case study from the 1970s.",femhealthwatch.org,Fake
MHF011,Psychiatry,SSRIs turn people into violent zombies - internal files exposed,"An alternative medicine site fabricates an internal pharmaceutical memo claiming antidepressants cause homicide, promoting $500 ""brain restoration"" kits.",mindfreedomdaily.net,Fake
MHF012,Dermatology,Sunscreen causes skin cancer - switch to coconut oil instead,"A wellness brand argues that chemical sunscreens are more carcinogenic than UV rays, using a misquoted EU regulatory draft as its only source.",skintruthguide.com,Fake
