ID,Disease Domain,News Title,News Snippet,Source Domain,Label
DM001,Diabetes,"New DiaTrend Dataset Offers 27,000 Days of CGM Data for Type 1 Diabetes Research","A new publicly available dataset includes over 27,000 days of continuous glucose monitor data and 8,000 days of insulin pump data from individuals with type 1 diabetes, addressing a critical need for open datasets in diabetes research. ",diabetes.emory.edu,Real
DM002,Diabetic Retinopathy,Study Finds Diabetic Foot Ulcers Increase Risk of Eye Disease Progression,"A cohort study of 135,172 patients with non-proliferative diabetic retinopathy found that comorbid foot ulcers and nephropathy nearly double the risk of blindness, proliferative DR, and vitreous hemorrhage. ",sciencedirect.com,Real
DM003,Diabetic Foot Ulcer,DFU Shown to Pose Greater Independent Risk for Vision Loss Than Nephropathy,"Research indicates that diabetic foot ulcers alone pose a higher risk for treatment-warranted diabetic eye disease than diabetic nephropathy alone, suggesting DFU may represent a more advanced state of microvascular disease. ",sciencedirect.com,Real
DM004,Diabetic Nephropathy,Both DFU and DN Independently Associated with Increased Risk of TW-DED,"Patients with both diabetic foot ulcers and nephropathy have a 50% increased risk of progressing to treatment-warranted diabetic eye disease compared to those without either condition, according to a national cohort study. ",sciencedirect.com,Real
DM005,Diabetes,Hopkins Research Explains Why Glucose Control Can Initially Worsen Eye Disease,"Researchers at Johns Hopkins have found that hypoglycemic episodes trigger increases in VEGF and ANGPTL4 proteins, explaining why aggressive glucose control can initially worsen diabetic retinopathy. ",hopkinsmedicine.org,Real
DM006,Diabetic Retinopathy,HIF-1? Inhibitors Show Promise for Treating Diabetic Retinopathy,"New research suggests that blocking HIF-1? can prevent leakage from retinal blood vessels, offering a potential therapy for diabetic retinopathy and wet age-related macular degeneration. ",hopkinsmedicine.org,Real
DM007,Diabetes,New Biomarker May Predict Response to Anti-VEGF Therapy for Eye Disease,"Researchers have discovered a distinct biomarker that predicts which patients with wet AMD will respond well to anti-VEGF treatment, potentially allowing for more tailored therapies. ",hopkinsmedicine.org,Real
DM008,Diabetes,Study Highlights Glucose Interpretation Errors Among Type 1 Diabetes Patients,"A new dataset reveals that accuracy in correctly interpreting CGM interfaces is less than 40%, and less than 22% in making treatment decisions, despite 75% of patients reporting high confidence in self-management. ",nature.com,Real
DM009,Diabetes,Researchers Develop Glanceable Smartwatch Interfaces for Diabetes Management,"A co-designed smartwatch face prototype uses glanceable visualization to present glucose information ambiently, potentially mitigating the emotional burden of constant monitoring while supporting timely awareness. ",nature.com,Real
DM010,Diabetes,Study Finds MASLD Does Not Increase Microvascular Complication Risk in Primary Care,"A primary care study of 308 patients with type 2 diabetes found that MASLD did not increase the risk of chronic kidney disease, neuropathy, or retinopathy, supporting previous findings of risk variation across ethnicities. ",nih.gov,Real
DM011,Diabetic Neuropathy,Metabolic Syndrome Suggested as Important Contributor to Neuropathy,"Commentary in Diabetes journal highlights that metabolic syndrome, characterized by obesity, hyperlipidemia, and hypertension, may be as important as elevated blood glucose in the development of diabetic peripheral neuropathy. ",diabetesjournals.org,Real
DM012,Diabetic Neuropathy,Ketogenic Diet and Exercise Show Promise for Treating Neuropathy in Mouse Model,"A study found that a ketogenic diet combined with exercise was the most effective intervention in reversing metabolic syndrome-induced peripheral neuropathy in mice, with combined treatment improving all measured endpoints. ",diabetesjournals.org,Real
DM013,Diabetes,Bridge2AI AI-READI Project Releases Year 3 Diabetes Data,"The Bridge2AI AI-READI project has released 358,999 files of data from 2,280 participants, providing a rich resource designed to support new insights into Type 2 Diabetes. ",dknet.org,Real
DM014,Diabetes,New Comprehensive T1D Dataset Released to Advance Algorithm Development,"A new multimodal dataset encompassing blood glucose levels, insulin dosages, nutritional intake, physical activity, and sleep patterns from 17 participants offers unique advantages for diabetes research and personalized modelling. ",nature.com,Real
DM015,Diabetes,miRNAs Identified as Potential Biomarkers for Vascular Complications of Diabetes,"A meta-analysis found that circulating miR-126-3p is the most promising biomarker for vascular complications of diabetes, with miR-192-5p showing high diagnostic accuracy for diabetic nephropathy. ",pubmed.ncbi.nlm.nih.gov,Real
